Marca temporal,Cuál es tu nivel de estudios,Qué ingeniería estudias/estudiaste,En qué universidad cursas/cursaste tu carrera de grado,Género,Trabajás en el rubro de la ingeniería que estudias/estudiaste,Tenés más de un trabajo,Cuál es tu situación particular de contratación,Es tu primer trabajo en el rubro,Tu empleador te paga el monotributo,Tu empleador respeta alguno de los siguientes derechos laborales,Cuántas horas trabajás por semana aproximadamente,Cuántos años de experiencia tenés en el rol (o en el rubro pero que sumen para tu rol),Tenés otras personas a cargo,Hacés home office,"Te dan alguno de estos ""beneficios""",Estás enmarcado/a en algún convenio,Te parece que la remuneración que recibís por tu trabajo es acorde a las horas que trabajás y las tareas que realizás,Cómo definís cuánto cobrás tus trabajos,Si podés definirlo: en promedio cuál es tu honorario por hora,Si querés dejanos algún comentario,Edad,¿tenés otros estudios relacionados con tu carrera,Ubicación de tu trabajo,Empleador,Remuneración mensual,Sector,Rol o área
2024-04-17 16:03:43.630,Estudiante (mayoritariamente 1er a 3er Nivel),Civil/Construcciones,UTN,Mujer,Empleado,Sí,Monotributista,No,"No. Lo pago yo, lo descuento de mi sueldo.","Vacaciones pagas, Días de estudio pagos, Días por enfermedad pagos",40.0,6 a 10 años de experiencia,No,1 o 2 días por semana,,No,No,,,,,,,Cooperativa,350000.0,"Desarrollos inmobiliarios: vivienda privada u oficinas, Industria energética",Dibujante
2024-04-19 19:14:08.545,Graduado/a,Eléctrica,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,6 a 10 años de experiencia,No,1 o 2 días por semana,,No,Sí,,,,,,,Empresa Nacional Grande,1700000.0,Energía - generación,Proyectista
2024-10-07 21:12:30.953,Graduado/a posgrado finalizado,Mecánica,UTN,Hombre,Empleado,Sí,Relación de dependencia registrada,No,,,45.0,Más de 10 años de experiencia,De 4 a 10,No,"Notebook, Celular, Bonos por objetivos, Comedor/vianda/plus por comida, Capacitaciones, Indumentaria, Flexibilidad horaria",No,Sí,,,,,,,Ambiental,4300000.0,Mantenimiento,Jefe/a
2024-10-07 21:13:45.878,Graduado/a posgrado finalizado,Mecánica,UTN,Hombre,Empleado,Sí,Relación de dependencia registrada,No,,,45.0,Más de 10 años de experiencia,De 4 a 10,No,Viáticos,No,Sí,,,,,,,Ferroviario,2800000.0,Mantenimiento,Jefe/a
2024-10-17 17:41:48.296,Estudiante cursada finalizada (sólo adeudo finales),Textil,UTN,Mujer,Empleado,Sí,Relación de dependencia registrada,No,,,30.0,3 a 5 años de experiencia,De 1 a 3,No,No,SETIA,No,,,,,,,Empresa Nacional PyME,525000.0,textil,produccion
2024-10-17 18:39:58.794,Graduado/a,Civil/Construcciones,UTN,Mujer,Empleado,No,Monotributista,No,"No. Lo pago yo, lo descuento de mi sueldo.","Días de vacaciones según antigüedad, Aguinaldo, Días de estudio pagos",30.0,1 o 2 años de experiencia,No,3 o 4 días por semana,"Notebook, Comedor/vianda/plus por comida, Viáticos, Capacitaciones, Indumentaria, Vacaciones adicionales, Flexibilidad horaria",No,Sí,,,,,,,Cooperativa,3000000.0,"Industria energética, Industrias en general, no energética, Infraestructura aeroportuaria",Proyectista estructural/Calculista
2024-10-18 11:11:44.511,Graduado/a posgrado finalizado,Mecánica,UTN,Hombre,Empleado,Sí,Relación de dependencia registrada,Sí,,,40.0,6 a 10 años de experiencia,Más de 10,No,"Comedor/vianda/plus por comida, Capacitaciones, Flexibilidad horaria",CCTS INTI,No,,,,38.0,,,Administración Pública ,1100000.0,Calidad,Jefe/a
2024-10-18 11:52:51.668,Estudiante (mayoritariamente 1er a 3er Nivel),Sistemas/Informática,UTN,Hombre,Empleado,Sí,Monotributista,No,"No. Lo pago yo, lo descuento de mi sueldo.","Días de estudio pagos, Días por enfermedad pagos",40.0,Más de 10 años de experiencia,No,"Sí, casi siempre o siempre","Notebook, Capacitaciones, Flexibilidad horaria",No,No,,,,38.0,"Tecnicatura, Cursos/Capacitaciones",,Estado,1700000.0,"Ciberseguridad, Base de datos",Desarrollador/programador
2024-10-18 12:56:41.964,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,6 a 10 años de experiencia,De 1 a 3,No,"Notebook, Celular, Capacitaciones",No,No,,,,27.0,Cursos/Capacitaciones,,Estado,1100000.0,Infraestructura de servicios,"Jefe/a de obra o de sector, Computista o presupuestista, Administrativo/a de obra, Mantenimiento"
2024-10-18 12:58:35.173,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Mujer,Empleado,No,Monotributista,No,Si,"Vacaciones pagas, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos",45.0,3 a 5 años de experiencia,De 4 a 10,No,Notebook,No,No,,,,31.0,,,Consultora Nacional PyME,850000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,Jefe/a de obra o de sector
