career,calculated_pay_per_hour,monthly_salary,hours_per_week
Alimentos,5697.67,980000.0,43.0
BIOMEDICA,4067.71,781000.0,48.0
Bioingeniería,5000.0,400000.0,20.0
Biomedica,13815.97,1419500.0,32.75
Biomedica ,5312.5,850000.0,40.0
Biomédica,6587.5,527000.0,20.0
Biomédica ,16458.33,395000.0,6.0
Civil/Construcciones,9338.14,1210541.11,38.51
ELECTROMECANICA,7777.78,1400000.0,45.0
Electromecanica,6510.42,1250000.0,48.0
Electromecánica,9367.42,1783333.33,48.33
Electromecánica ,41666.67,1500000.0,9.0
Electrónica,10529.38,1338472.81,36.73
Eléctrica,15257.72,1750378.38,35.92
En Industrias agrsrias y alimentarias,9375.0,1500000.0,40.0
Geotécnica,6250.0,1000000.0,40.0
Hidráulica ,4694.44,1014000.0,54.0
Industrial,12723.1,1465624.15,33.53
Ing Naval,4625.0,370000.0,20.0
Licenciado Higiene y Seguridad,9090.91,1600000.0,44.0
Mecánica,12403.72,1676291.94,37.34
Naval,6944.44,1250000.0,45.0
Química,12101.95,1530093.58,37.4
Sistemas/Informática,15378.2,1693313.9,33.09
Telecomunicaciones ,12500.0,2000000.0,40.0
Textil,8268.95,1164874.14,36.52
